Time (Myr) 	 Time-t0 (yr) 	 5deg L_bol (L_sol) 	 15 	 25 	 35 	 45 	 55 	 65 	 75 	 85
1.516000e-02   4.001000e+02    5.289170e-03 	 5.289275e-03 	 5.289221e-03 	 5.289211e-03 	 5.289182e-03 	 5.289159e-03 	 5.288998e-03 	 5.289140e-03 	 5.289061e-03
1.536000e-02 	 6.001000e+02 	 5.461668e-03 	 5.461948e-03 	 5.461768e-03 	 5.461827e-03 	 5.461870e-03 	 5.461930e-03 	 5.461672e-03 	 5.461620e-03 	 5.461730e-03
1.556000e-02 	 8.001000e+02 	 5.629051e-03 	 5.629007e-03 	 5.628863e-03 	 5.628819e-03 	 5.628804e-03 	 5.628938e-03 	 5.628716e-03 	 5.628812e-03 	 5.628892e-03
1.576000e-02 	 1.000100e+03 	 5.792218e-03 	 5.792557e-03 	 5.792507e-03 	 5.792437e-03 	 5.792440e-03 	 5.792474e-03 	 5.792450e-03 	 5.792357e-03 	 5.792578e-03
1.596000e-02 	 1.200100e+03 	 5.953361e-03 	 5.953596e-03 	 5.953545e-03 	 5.953504e-03 	 5.953407e-03 	 5.953495e-03 	 5.953473e-03 	 5.953180e-03 	 5.953481e-03
1.616000e-02 	 1.400100e+03 	 6.109622e-03 	 6.109584e-03 	 6.109402e-03 	 6.109384e-03 	 6.109384e-03 	 6.109307e-03 	 6.109153e-03 	 6.109056e-03 	 6.109148e-03
1.636000e-02 	 1.600100e+03 	 6.260740e-03 	 6.261293e-03 	 6.261018e-03 	 6.261115e-03 	 6.261109e-03 	 6.261066e-03 	 6.261030e-03 	 6.260874e-03 	 6.260967e-03
1.656000e-02 	 1.800000e+03 	 6.412757e-03 	 6.413064e-03 	 6.412860e-03 	 6.412889e-03 	 6.412859e-03 	 6.412799e-03 	 6.412767e-03 	 6.412608e-03 	 6.412881e-03
1.676000e-02 	 2.000000e+03 	 6.565593e-03 	 6.565618e-03 	 6.565625e-03 	 6.565607e-03 	 6.565489e-03 	 6.565467e-03 	 6.565198e-03 	 6.565138e-03 	 6.565026e-03
1.696000e-02 	 2.200100e+03 	 6.716567e-03 	 6.717009e-03 	 6.716861e-03 	 6.716844e-03 	 6.716796e-03 	 6.716685e-03 	 6.716398e-03 	 6.716222e-03 	 6.716156e-03
1.716000e-02 	 2.400000e+03 	 6.865396e-03 	 6.865776e-03 	 6.865330e-03 	 6.865355e-03 	 6.865295e-03 	 6.865134e-03 	 6.864996e-03 	 6.864604e-03 	 6.864267e-03
1.736000e-02 	 2.600000e+03 	 7.016810e-03 	 7.016899e-03 	 7.016642e-03 	 7.016757e-03 	 7.016662e-03 	 7.016534e-03 	 7.016321e-03 	 7.016098e-03 	 7.015846e-03
1.756000e-02 	 2.800100e+03 	 7.154379e-03 	 7.154392e-03 	 7.154588e-03 	 7.154391e-03 	 7.154214e-03 	 7.154069e-03 	 7.153311e-03 	 7.153682e-03 	 7.153418e-03
