Time (Myr) 	 Time-t0 (yr) 	 5deg L_bol (L_sol) 	 15 	 25 	 35 	 45 	 55 	 65 	 75 	 85 
2.232000e-01 	 3.000000e+03 	 7.048169e-02 	 7.046912e-02 	 7.045982e-02 	 7.046205e-02 	 7.048206e-02 	 7.050367e-02 	 7.052740e-02 	 7.054104e-02 	 7.053876e-02 
2.262000e-01 	 6.000000e+03 	 7.282576e-02 	 7.280594e-02 	 7.278408e-02 	 7.276656e-02 	 7.276017e-02 	 7.276477e-02 	 7.277573e-02 	 7.277122e-02 	 7.276002e-02 
2.292000e-01 	 9.000000e+03 	 7.447450e-02 	 7.447815e-02 	 7.446760e-02 	 7.445221e-02 	 7.444525e-02 	 7.444467e-02 	 7.445595e-02 	 7.445903e-02 	 7.445051e-02 
2.322000e-01 	 1.200000e+04 	 7.518162e-02 	 7.530678e-02 	 7.541164e-02 	 7.547588e-02 	 7.546622e-02 	 7.540044e-02 	 7.527553e-02 	 7.459211e-02 	 6.705739e-02 
2.352000e-01 	 1.500000e+04 	 1.287331e+00 	 1.285897e+00 	 1.283694e+00 	 1.279264e+00 	 1.268532e+00 	 1.253919e+00 	 1.231059e+00 	 1.187770e+00 	 1.127697e+00 
2.382000e-01 	 1.800000e+04 	 2.146042e+00 	 2.143769e+00 	 2.140244e+00 	 2.132082e+00 	 2.115540e+00 	 2.089663e+00 	 2.049647e+00 	 1.964860e+00 	 1.860324e+00 
2.412000e-01 	 2.100000e+04 	 4.246409e+00 	 4.246361e+00 	 4.242510e+00 	 4.232038e+00 	 4.205897e+00 	 4.160274e+00 	 4.079788e+00 	 3.869695e+00 	 3.652089e+00 
2.442000e-01 	 2.400000e+04 	 4.380506e+00 	 4.380589e+00 	 4.366442e+00 	 4.356000e+00 	 4.333028e+00 	 4.285147e+00 	 4.193234e+00 	 3.969318e+00 	 3.743842e+00 
2.472000e-01 	 2.700000e+04 	 2.228565e+00 	 2.229623e+00 	 2.229909e+00 	 2.229209e+00 	 2.220255e+00 	 2.201131e+00 	 2.163322e+00 	 2.022796e+00 	 1.902565e+00 
2.502000e-01 	 3.000000e+04 	 5.762084e+00 	 5.761511e+00 	 5.761114e+00 	 5.738391e+00 	 5.708716e+00 	 5.640802e+00 	 5.525459e+00 	 5.160400e+00 	 4.851801e+00 
2.532000e-01 	 3.300000e+04 	 8.560733e+00 	 8.558050e+00 	 8.559601e+00 	 8.534380e+00 	 8.480932e+00 	 8.380400e+00 	 8.201748e+00 	 7.621498e+00 	 7.170770e+00 
