Time (Myr) 	 Time-t0 (yr) 	 5deg T_bol (K) 	 15 	 25 	 35 	 45 	 55 	 65 	 75 	 85
1.516000e-02   4.001000e+02    1.392919e+01 	 1.392941e+01 	 1.392940e+01 	 1.392940e+01 	 1.392932e+01 	 1.392933e+01 	 1.392906e+01 	 1.392933e+01 	 1.392922e+01
1.536000e-02 	 6.001000e+02 	 1.417344e+01 	 1.417394e+01 	 1.417361e+01 	 1.417372e+01 	 1.417378e+01 	 1.417387e+01 	 1.417346e+01 	 1.417344e+01 	 1.417365e+01
1.556000e-02 	 8.001000e+02 	 1.443219e+01 	 1.443210e+01 	 1.443186e+01 	 1.443183e+01 	 1.443174e+01 	 1.443203e+01 	 1.443166e+01 	 1.443182e+01 	 1.443196e+01
1.576000e-02 	 1.000100e+03 	 1.470075e+01 	 1.470149e+01 	 1.470139e+01 	 1.470131e+01 	 1.470127e+01 	 1.470135e+01 	 1.470130e+01 	 1.470114e+01 	 1.470154e+01
1.596000e-02 	 1.200100e+03 	 1.497236e+01 	 1.497295e+01 	 1.497281e+01 	 1.497273e+01 	 1.497251e+01 	 1.497269e+01 	 1.497264e+01 	 1.497206e+01 	 1.497266e+01
1.616000e-02 	 1.400100e+03 	 1.525115e+01 	 1.525117e+01 	 1.525066e+01 	 1.525066e+01 	 1.525067e+01 	 1.525047e+01 	 1.525011e+01 	 1.525004e+01 	 1.525027e+01
1.636000e-02 	 1.600100e+03 	 1.552947e+01 	 1.553076e+01 	 1.553015e+01 	 1.553039e+01 	 1.553032e+01 	 1.553022e+01 	 1.553014e+01 	 1.552995e+01 	 1.553012e+01
1.656000e-02 	 1.800000e+03 	 1.581341e+01 	 1.581417e+01 	 1.581368e+01 	 1.581379e+01 	 1.581369e+01 	 1.581352e+01 	 1.581343e+01 	 1.581313e+01 	 1.581364e+01
1.676000e-02 	 2.000000e+03 	 1.609845e+01 	 1.609852e+01 	 1.609851e+01 	 1.609842e+01 	 1.609810e+01 	 1.609805e+01 	 1.609744e+01 	 1.609738e+01 	 1.609713e+01
1.696000e-02 	 2.200100e+03 	 1.638482e+01 	 1.638579e+01 	 1.638544e+01 	 1.638545e+01 	 1.638526e+01 	 1.638496e+01 	 1.638424e+01 	 1.638397e+01 	 1.638381e+01
