Time (Myr) 	 Time-t0 (yr) 	 5deg T_bol (K) 	 15 	 25 	 35 	 45 	 55 	 65 	 75 	 85 
4.176000e-02 	 9.997000e+02 	 1.464688e+01 	 1.464717e+01 	 1.464721e+01 	 1.464716e+01 	 1.464721e+01 	 1.464717e+01 	 1.464714e+01 	 1.464701e+01 	 1.464696e+01 
4.276000e-02 	 1.999700e+03 	 1.498003e+01 	 1.498016e+01 	 1.498011e+01 	 1.498013e+01 	 1.498019e+01 	 1.498013e+01 	 1.498003e+01 	 1.498006e+01 	 1.497976e+01 
4.376000e-02 	 2.999700e+03 	 1.531020e+01 	 1.531047e+01 	 1.531054e+01 	 1.531048e+01 	 1.531042e+01 	 1.531040e+01 	 1.531023e+01 	 1.531030e+01 	 1.530994e+01 
4.476000e-02 	 3.999600e+03 	 1.566976e+01 	 1.566978e+01 	 1.566977e+01 	 1.566985e+01 	 1.566974e+01 	 1.566989e+01 	 1.566975e+01 	 1.566957e+01 	 1.566915e+01 
4.576000e-02 	 4.999600e+03 	 1.600105e+01 	 1.600124e+01 	 1.600132e+01 	 1.600122e+01 	 1.600098e+01 	 1.600103e+01 	 1.600079e+01 	 1.600096e+01 	 1.600043e+01 
4.676000e-02 	 5.999600e+03 	 1.633300e+01 	 1.633358e+01 	 1.633334e+01 	 1.633326e+01 	 1.633318e+01 	 1.633306e+01 	 1.633264e+01 	 1.633304e+01 	 1.633234e+01 
4.776000e-02 	 6.999700e+03 	 1.667817e+01 	 1.667892e+01 	 1.667851e+01 	 1.667843e+01 	 1.667803e+01 	 1.667795e+01 	 1.667711e+01 	 1.667783e+01 	 1.667694e+01 
4.876000e-02 	 7.999700e+03 	 1.704470e+01 	 1.704499e+01 	 1.704446e+01 	 1.704411e+01 	 1.704338e+01 	 1.704325e+01 	 1.704282e+01 	 1.704264e+01 	 1.704182e+01 
4.976000e-02 	 8.999600e+03 	 1.742929e+01 	 1.742998e+01 	 1.742911e+01 	 1.742860e+01 	 1.742772e+01 	 1.742733e+01 	 1.742643e+01 	 1.742569e+01 	 1.742486e+01 
5.076000e-02 	 9.999700e+03 	 1.779999e+01 	 1.780057e+01 	 1.779943e+01 	 1.779863e+01 	 1.779718e+01 	 1.779669e+01 	 1.779503e+01 	 1.779450e+01 	 1.779327e+01 
5.176000e-02 	 1.099970e+04 	 1.817782e+01 	 1.817808e+01 	 1.817676e+01 	 1.817572e+01 	 1.817349e+01 	 1.817259e+01 	 1.817017e+01 	 1.816974e+01 	 1.816819e+01 
5.276000e-02 	 1.199960e+04 	 1.855885e+01 	 1.855900e+01 	 1.855693e+01 	 1.855567e+01 	 1.855246e+01 	 1.855124e+01 	 1.854795e+01 	 1.854695e+01 	 1.854481e+01 
5.376000e-02 	 1.299960e+04 	 1.891338e+01 	 1.891281e+01 	 1.891021e+01 	 1.890808e+01 	 1.890422e+01 	 1.890239e+01 	 1.889852e+01 	 1.889671e+01 	 1.889422e+01 
5.476000e-02 	 1.399960e+04 	 1.471125e+01 	 1.471124e+01 	 1.471124e+01 	 1.471123e+01 	 1.471124e+01 	 1.471119e+01 	 1.471115e+01 	 1.471114e+01 	 1.471119e+01 
5.576000e-02 	 1.499960e+04 	 2.008567e+01 	 2.014682e+01 	 2.020190e+01 	 2.024807e+01 	 2.028488e+01 	 2.031185e+01 	 2.032283e+01 	 2.011885e+01 	 1.541696e+01 
5.676000e-02 	 1.599960e+04 	 1.995868e+01 	 2.002063e+01 	 2.007619e+01 	 2.012270e+01 	 2.016018e+01 	 2.018793e+01 	 2.020056e+01 	 1.969199e+01 	 1.516144e+01 
5.776000e-02 	 1.699960e+04 	 2.203673e+01 	 2.212479e+01 	 2.219756e+01 	 2.226199e+01 	 2.231504e+01 	 2.235568e+01 	 2.237723e+01 	 2.109021e+01 	 1.534984e+01 
5.876000e-02 	 1.799960e+04 	 6.952429e+01 	 6.967512e+01 	 6.927452e+01 	 7.066967e+01 	 6.901953e+01 	 6.739955e+01 	 6.628730e+01 	 6.404720e+01 	 6.353835e+01 
